image,object,dimension,true_size_mm,distance_mm,x1,y1,x2,y2
obj_00.png,rect0,width,263.31,2402.7,563.35,367.59,716.65,367.59
obj_00.png,rect0,height,386.13,2402.7,563.35,367.59,563.35,592.41
obj_01.png,rect1,width,385.62,2989.0,549.73,431.47,730.27,431.47
obj_01.png,rect1,height,207.31,2989.0,549.73,431.47,549.73,528.53
obj_02.png,rect2,width,351.76,3254.1,564.36,429.56,715.64,429.56
obj_02.png,rect2,height,234.58,3254.1,564.36,429.56,564.36,530.44
obj_03.png,rect3,width,127.72,3230.1,612.33,408.29,667.67,408.29
obj_03.png,rect3,height,330.98,3230.1,612.33,408.29,612.33,551.71
obj_04.png,rect4,width,212.32,2736.7,585.71,392.88,694.29,392.88
obj_04.png,rect4,height,340.76,2736.7,585.71,392.88,585.71,567.12
obj_05.png,rect5,width,246.98,2946.5,581.34,442.58,698.66,442.58
obj_05.png,rect5,height,157.53,2946.5,581.34,442.58,581.34,517.42
obj_06.png,rect6,width,176.97,3675.8,606.3,443.16,673.7,443.16
obj_06.png,rect6,height,193.45,3675.8,606.3,443.16,606.3,516.84
obj_07.png,rect7,width,198.51,4159.5,606.6,436.95,673.4,436.95
obj_07.png,rect7,height,255.85,4159.5,606.6,436.95,606.6,523.05
obj_08.png,rect8,width,389.26,3236.6,555.85,410.19,724.15,410.19
obj_08.png,rect8,height,322.94,3236.6,555.85,410.19,555.85,549.81
obj_09.png,rect9,width,197.53,4136.8,606.58,452.09,673.42,452.09
obj_09.png,rect9,height,164.98,4136.8,606.58,452.09,606.58,507.91
